Stkcd,聚类标签,Stknme
000002,2,万科A
000061,2,农产品
000063,2,中兴通讯
000069,0,华侨城A
000100,1,TCL科技
000333,2,美的集团
000513,2,丽珠集团
000625,2,长安汽车
000651,2,格力电器
000661,0,长春高新
000681,0,视觉中国
000723,2,美锦能源
000725,2,京东方A
000858,0,五粮液
000895,2,双汇发展
000910,0,大亚圣象
000937,0,冀中能源
000999,0,华润三九
001979,0,招商蛇口
002008,2,大族激光
002024,1,ST 易购
002065,0,东华软件
002142,2,宁波银行
002202,0,金风科技
002230,0,科大讯飞
002241,2,歌尔股份
002271,1,东方雨虹
002304,1,洋河股份
002368,0,太极股份
002371,1,北方华创
002387,0,维信诺
002415,0,海康威视
002460,0,赣锋锂业
002466,1,天齐锂业
002475,1,立讯精密
002594,2,比亚迪
003816,1,中国广核
300002,0,神州泰岳
300003,2,乐普医疗
300012,1,华测检测
300014,0,亿纬锂能
300015,1,爱尔眼科
300027,2,华谊兄弟
300037,0,新宙邦
300059,0,东方财富
300070,0,碧水源
300122,2,智飞生物
300124,0,汇川技术
300136,0,信维通信
300142,1,沃森生物
